,WD,basin,sampling_point,sampling_date,BOD,chla,COD,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
863,3회차 상층부,한강,Paldang1,20200316,0.6,3.8,3.2,11.7,273,3.1,8.5,1.7,1.8,Paldangdam,1_11_20200318T021601_20200318T021559_T52SCG.tif,20200318,처_음,404,417.2222222,473.1111111,271,234.3333333,179.1111111,167.8888889,160.1111111,141.7777778,102.6666667,123.4444444,96.88888889,0
864,3회차 상층부,한강,Paldang4,20200316,0.9,11.6,3.2,12.8,135,3.5,6.9,1.6,2.2,Paldangdam,1_11_20200318T021601_20200318T021559_T52SCG.tif,20200318,처_음,246.6666667,250,314.5555556,163.2222222,143.3333333,99.22222222,88.77777778,77.66666667,70.44444444,26.33333333,64.11111111,53.11111111,0
865,4회차,한강,Paldang5,20200323,2.9,39.4,5.6,12.4,349,12.2,10.5,2.8,0.4,Paldangdam,1_11_20200323T021559_20200323T021601_T52SCG.tif,20200323,처_음,292,392.6666667,532.6666667,359,379.8888889,195.5555556,188.7777778,173.4444444,142.7777778,105,103.3333333,74.11111111,0
866,4회차 상층부,한강,Paldang1,20200323,1.1,6.9,3.4,12.2,283,3.3,10,1.9,1.9,Paldangdam,1_11_20200323T021559_20200323T021601_T52SCG.tif,20200323,처_음,294.4444444,381.2222222,401.3333333,245.3333333,212.7777778,167,168.5555556,157.6666667,152,126.8888889,146,133.8888889,0
867,4회차 상층부,한강,Paldang4,20200323,1.5,16.5,3.6,13.1,128,4.6,9,2,1.5,Paldangdam,1_11_20200323T021559_20200323T021601_T52SCG.tif,20200323,처_음,237.4444444,320.6666667,361.2222222,209.1111111,203.5555556,155,166.4444444,150.8888889,125.3333333,109.4444444,114,100.6666667,0
933,4회차,한강,Paldang5,20200824,5.4,85.8,8.3,14.2,252,12.2,27.3,3.2,0.6,Paldangdam,1_11_20200825T021611_20200825T021608_T52SCG.tif,20200825,처_음,498,505,698,411.3333333,490.4444444,393.1111111,424.4444444,365.1111111,374.4444444,567,193.1111111,120.1111111,1
934,4회차 상층부,한강,Paldang1,20200824,1.1,10.3,3.9,9.8,203,15.5,20.7,2.3,0.5,Paldangdam,1_11_20200825T021611_20200825T021608_T52SCG.tif,20200825,처_음,561.8888889,607.6666667,840.2222222,586.8888889,546.5555556,382.1111111,408.1111111,346.6666667,355,251.1111111,143.8888889,68.77777778,1
935,4회차 상층부,한강,Paldang4,20200824,1.5,12.5,3.7,9.9,110,9.6,21.2,1.9,0.5,Paldangdam,1_11_20200825T021611_20200825T021608_T52SCG.tif,20200825,처_음,614.6666667,715.3333333,1080.666667,762.2222222,667.8888889,356.1111111,360,293.4444444,268.8888889,180.6666667,103.6666667,59.11111111,1
945,3회차,한강,Paldang5,20200921,2,49.5,4.8,10.2,295,8.7,20.7,2.2,0.9,Paldangdam,1_11_20200919T021609_20200919T022509_T52SCG.tif,20200919,처_음,251,311.8888889,398.2222222,240.6666667,255.5555556,173.1111111,192.7777778,170.8888889,175.4444444,230,75.44444444,57.55555556,1
946,3회차 상층부,한강,Paldang1,20200921,1.8,17.8,3.6,10.6,236,5,21.3,2.5,1.6,Paldangdam,1_11_20200919T021609_20200919T022509_T52SCG.tif,20200919,처_음,336.2222222,400.3333333,483.8888889,268.1111111,240.5555556,194.7777778,231.5555556,184.4444444,176.1111111,155.2222222,95.55555556,60.77777778,1
