,Unnamed: 0,year,month,WD,sampling_date,basin,sampling_point,BOD,chla,COD,chro,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,lake_y,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
46,46,2016,6,1회차,20160530,금강,D1,0.7,10.4,3.1,,6.2,180,1.7,11.3,1.8,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,2016,6,1회차 상층부,20160601,금강,D5,1.8,1.5,3,,8.9,156,1.2,22,2.2,5.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,2016,6,1회차 상층부,20160601,금강,D6,1.7,1.3,3.6,,9.1,165,1.4,22,2.1,3.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,2016,6,1회차 상층부,20160601,금강,D2,1.9,1.3,2.9,,9.1,179,1.2,22,1.8,6.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,2016,6,1회차 상층부,20160601,금강,D3,1.4,1.7,2.9,,9.1,181,1.4,23,1.9,2.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,2016,6,1회차 상층부,20160601,금강,D4,1.5,16.2,4.5,,11.4,178,2,24,2.4,0.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,2016,6,2회차,20160607,금강,D1,0.5,8.8,3.4,,5.8,179,2.2,14,2.6,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,2016,6,3회차,20160613,금강,D1,0.6,4.4,3.6,,7.8,174,1.9,16.8,2.2,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,2016,6,4회차,20160620,금강,D1,0.8,6,3.2,,6,174,1.5,18,2.1,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,2016,6,5회차,20160627,금강,D1,0.5,6.7,3.2,,3.6,174,2.4,18.7,2.8,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,2016,7,1회차,20160711,금강,D1,2.6,18.8,4.9,,13.6,166,2.7,29.7,3.6,1.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,2016,7,1회차 상층부,20160705,금강,D5,2.3,5.8,3.1,,5.5,190,4,22,2.4,1.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,2016,7,1회차 상층부,20160705,금강,D6,3.2,8.1,5.8,,6.6,140,67.6,19,3.8,0.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,2016,7,1회차 상층부,20160705,금강,D2,1.8,4.3,3,,9,180,1.2,24,1.9,4.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,2016,7,1회차 상층부,20160705,금강,D3,2.1,5.3,3.8,,8.7,181,0.8,24,1.9,1.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,2016,7,1회차 상층부,20160705,금강,D4,3.2,5.8,3.6,,11.4,178,61.2,24,4,0.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,2016,7,2회차,20160718,금강,D1,2.4,11.7,5.2,,10.1,159,2.6,27,3.6,2.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,2016,7,3회차,20160725,금강,D1,1.9,15.2,6.4,,12.1,163,3,30.3,3.9,1.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,2016,8,1회차,20160801,금강,D1,1.9,12,5.9,,14.3,165,3.6,31.1,4.3,1.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,2016,8,1회차 상층부,20160802,금강,D5,1.7,7.4,5.3,,10.2,170,2.4,28,3.2,1.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,2016,8,1회차 상층부,20160802,금강,D6,2.9,11.1,6.8,,8,164,3.6,28,3.8,0.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,2016,8,1회차 상층부,20160802,금강,D2,1.7,9.2,6,,10.2,187,4.8,28,2.7,1.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,2016,8,1회차 상층부,20160802,금강,D3,0.9,8.5,6.1,,6,183,4,28,3,1.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,2016,8,1회차 상층부,20160802,금강,D4,2,11.3,5.4,,7.1,205,4,29,2.8,1.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,2016,8,2회차,20160808,금강,D1,1.1,1.1,5.2,,9.8,160,2.2,32.4,3.6,1.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,2016,8,3회차,20160816,금강,D1,1.3,5,5.3,,10.4,161,2.2,32.7,3.6,2.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,2016,8,4회차,20160822,금강,D1,1.5,7.5,5.5,,12.3,159,2.2,31.6,4.1,1.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,2016,8,5회차,20160829,금강,D1,1.7,11.8,5.3,,10.4,153,2.7,27.3,3.7,1.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,2016,9,1회차,20160905,금강,D1,1.3,11.3,5.3,,9.7,153,3.1,28.1,3.5,1.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,2016,9,1회차 상층부,20160905,금강,D5,1.8,9,5.2,,6,179,6.4,24,3,1.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,2016,9,1회차 상층부,20160905,금강,D6,2,11.9,5,,6.6,196,4.8,24,2.6,1.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,2016,9,1회차 상층부,20160905,금강,D2,2.6,19.7,5.3,,7.2,174,7.6,24,2.8,1.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,2016,9,1회차 상층부,20160905,금강,D3,3.2,20.6,6.4,,8.9,177,9.6,24,2.9,0.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,2016,9,1회차 상층부,20160905,금강,D4,1.4,9.7,3.7,,5.1,201,2.8,23,2.3,2.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,2016,9,2회차,20160912,금강,D1,1.5,13,5.7,,9.7,137,2.7,26.7,4.1,1.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,2016,9,3회차,20160919,금강,D1,1.2,10.5,4.8,,7.3,148,3.6,24.6,3.8,2.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,2016,9,4회차,20160926,금강,D1,1.7,14.9,5.4,,8,157,3.3,24.4,3.5,2.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,2016,10,1회차 상층부,20161004,금강,D1,1.6,15,5.6,,8.5,122,3.5,23.9,3.7,1.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,2016,10,1회차 상층부,20161004,금강,D5,2.1,4.3,4.2,,7.7,184,2.8,21,2.5,2.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,2016,10,1회차 상층부,20161004,금강,D6,2.6,12.2,2.7,,8.1,196,5.6,21,2.4,2.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,2016,10,1회차 상층부,20161004,금강,D2,1.8,4.6,2.3,,6.7,170,0.8,21,2.2,3.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,2016,10,1회차 상층부,20161004,금강,D3,2.6,6.3,5.4,,7.4,173,3.2,21,2.4,2.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,2016,10,1회차 상층부,20161004,금강,D4,2.1,10.8,4,,9.8,195,1.2,20,2.2,1.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,2016,10,2회차 상층부,20161010,금강,D1,1.2,10.2,5.4,,7.8,135,3.7,22.4,3.6,2.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,2016,10,3회차 상층부,20161017,금강,D1,1.1,6,5,,7.2,130,2.9,22.3,3.7,2.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,2016,10,4회차 상층부,20161024,금강,D1,0.9,5.7,4.8,,6.9,139,2.2,20.7,3.5,1.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,2016,11,1회차 상층부,20161031,금강,D1,0.6,4.7,4.3,,6.4,122,2.4,18.7,3.7,1.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,2016,11,1회차 상층부,20161102,금강,D5,1.5,7.5,4,,9.2,182,3.2,15,2.4,2.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,2016,11,1회차 상층부,20161102,금강,D6,2.3,18.2,4.6,,9,198,6,15,2.3,1.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,2016,11,1회차 상층부,20161102,금강,D2,1.3,2,4.1,,5.6,157,0.4,15,2.7,3.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,2016,11,1회차 상층부,20161102,금강,D3,1.6,5.5,4.3,,7.4,165,1.2,15,2.5,3.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,2016,11,1회차 상층부,20161102,금강,D4,2.2,11.8,4.4,,9.5,198,6,13,2.2,1.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,2016,11,2회차 상층부,20161107,금강,D1,0.8,5.9,4.7,,7.5,127,2.6,18.1,3.5,2.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,2016,11,3회차 상층부,20161114,금강,D1,0.6,4.8,7.4,,8.5,128,1.8,17.1,2.9,2.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,2016,11,4회차 상층부,20161121,금강,D1,0.9,12.5,4.5,,9.4,241,2.8,15.7,3.2,3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
